Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR_macro,FPR_macro,Precision_macro,AUC_macro,PR-Curve_macro,Training Time (sec),Inference Time (sec)
congressional-voting,LGBMClassifier,5,"{'learning_rate': 0.570577641092792, 'max_depth': 3, 'n_estimators': 51, 'reg_lambda': 7.27725743177325, 'subsample': 0.7050519794266569, 'num_leaves': 37}",0.659090909,0.580610022,0.419389978,0.662280702,0.549019608,0.526111576,0.0218708,0.0005736
congressional-voting,LGBMClassifier,6,"{'learning_rate': 0.2597236255198837, 'max_depth': 4, 'n_estimators': 96, 'reg_lambda': 8.326320323149597, 'subsample': 0.7273505261106861, 'num_leaves': 37}",0.604651163,0.5,0.5,0.302325581,0.602941176,0.602651972,0.0114053,0.0004783
congressional-voting,LGBMClassifier,7,"{'learning_rate': 0.2597236255198837, 'max_depth': 4, 'n_estimators': 96, 'reg_lambda': 8.326320323149597, 'subsample': 0.7273505261106861, 'num_leaves': 37}",0.581395349,0.490950226,0.509049774,0.466666667,0.53959276,0.554427394,0.011058,0.0004281
congressional-voting,LGBMClassifier,8,"{'learning_rate': 0.2597236255198837, 'max_depth': 4, 'n_estimators': 96, 'reg_lambda': 8.326320323149597, 'subsample': 0.7273505261106861, 'num_leaves': 37}",0.581395349,0.480769231,0.519230769,0.297619048,0.556561086,0.491292125,0.0113916,0.0004266
congressional-voting,LGBMClassifier,9,"{'learning_rate': 0.2597236255198837, 'max_depth': 4, 'n_estimators': 96, 'reg_lambda': 8.326320323149597, 'subsample': 0.7273505261106861, 'num_leaves': 37}",0.581395349,0.462962963,0.537037037,0.304878049,0.548611111,0.471747482,0.0135251,0.000579
congressional-voting,PaloBst,1,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.613636364,0.5,0.5,0.306818182,0.5,0.75,0.1049925,0.2156651
congressional-voting,PaloBst,10,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.627906977,0.5,0.5,0.313953488,0.5,0.75,0.0791057,0.1505771
congressional-voting,PaloBst,2,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.613636364,0.5,0.5,0.306818182,0.5,0.75,0.0793158,0.0005561
congressional-voting,PaloBst,3,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.613636364,0.5,0.5,0.306818182,0.5,0.75,0.0790738,0.0008074
congressional-voting,PaloBst,4,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.613636364,0.5,0.5,0.306818182,0.5,0.75,0.0799376,0.0205411
